source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	docs-prototype/reference/index.md	prototype-page	prototype-wip	promote-shell	Reference	/reference/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/reference/metrics/investment-distribution.md	prototype-page	prototype-wip	promote-and-verify	Reference	/reference/metrics/weighting-and-aggregation/	reference	product-analytics	canonical Investment computation code		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion; consolidated into the locked IA node /reference/metrics/weighting-and-aggregation/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/graphql-ai.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/graphql/schema/	generated-reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/graphql/schema/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/graphql-overview.md	markdown-page	public-nav	merge-and-rewrite	Reference	/reference/graphql/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/graphql-security.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/authentication/	api-reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/authentication/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/investment-api.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/operating-review.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/persisted-queries.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/graphql/filters/	api-reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/graphql/filters/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/team-catalog-source-of-truth.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/work-graph/	reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/data-models/work-graph/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/view-mapping.md	markdown-page	public-nav	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/web-graphql-investment.md	markdown-page	public-reference	merge-and-rewrite	Reference	/reference/graphql/schema/	generated-reference	platform-api	current GraphQL/API schema and runtime	graphql-investment	yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/graphql/schema/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr-005-external-ingest-schema-discovery.md	markdown-page	public-reference	merge-and-rewrite	Reference	/reference/schemas/record-kinds-and-enums/	generated-reference	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/schemas/record-kinds-and-enums/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr/002-investment-period-components.md	markdown-page	public-reference	merge-and-rewrite	Reference	/reference/data-models/investment/	reference	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/investment/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/canonical-operational-model.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/	landing	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/customer-push-authz.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/authentication/	api-reference	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/api/authentication/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/external-ingest-idempotency-ownership.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/	landing	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/external-ingest-rest-contract.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/external-ingest-status-store.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/	landing	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/investment-categorization-pipeline.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/investment/	reference	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/investment/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/investment-data-model.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/investment/	reference	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/licensing.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/limits-and-compatibility/compatibility/	reference	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/limits-and-compatibility/compatibility/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/scoring-methodology.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/metrics/definitions/	generated-reference	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/metrics/definitions/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/sync-unit-model.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/	landing	platform-api	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/team-attribution.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/work-graph/	reference	platform-api	current code/contracts + durable architecture decision	team-attribution	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/work-graph/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/testops-entity-resolution.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/	landing	platform-api	current code/contracts + durable architecture decision	testops	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /reference/data-models/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/canonical-metrics.md	markdown-page	public-nav	merge-and-generate	Reference	/reference/metrics/	landing	product-analytics	canonical computation code	canonical-metrics	yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/cli.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/cli/	landing	platform-api	current CLI implementation		yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/computations/ai-opportunity-detector.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/metrics/definitions/	generated-reference	product-analytics	canonical computation code		yes		Phase 8	Move exact metric/computation facts to canonical Reference pages; consolidated into the locked IA node /reference/metrics/definitions/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/computations/compounding-risk.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/metrics/definitions/	generated-reference	product-analytics	canonical computation code		yes		Phase 8	Move exact metric/computation facts to canonical Reference pages; consolidated into the locked IA node /reference/metrics/definitions/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/computations/index.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/metrics/	landing	product-analytics	canonical computation code		yes		Phase 8	Move exact metric/computation facts to canonical Reference pages.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/computations/metric-calculations.md	markdown-page	public-reference	move-and-generate	Reference	/reference/metrics/definitions/	generated-reference	product-analytics	canonical computation code	canonical-metrics	yes		Phase 8	Move exact metric/computation facts to canonical Reference pages; consolidated into the locked IA node /reference/metrics/definitions/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/configuration.md	markdown-page	public-nav	split-and-rewrite	Reference	/reference/configuration/	landing	platform-operations	runtime settings and configuration code		yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/connectors/usage.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/limits-and-compatibility/provider-limits/	reference	platform-api	current provider implementation and permissions		yes		Phase 8	Place provider tasks and limits in the appropriate admin, contributor, or reference domain; consolidated into the locked IA node /reference/limits-and-compatibility/provider-limits/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/api-reference.md	markdown-page	public-nav	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/schemas-and-idempotency.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/schemas/record-kinds-and-enums/	generated-reference	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries; consolidated into the locked IA node /reference/schemas/record-kinds-and-enums/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/graphql.md	markdown-page	public-reference	merge-and-rewrite	Reference	/reference/graphql/	landing	platform-api	current GraphQL schema and auth		yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/llm/categorization-contract.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/investment/	reference	platform-api	current LLM configuration/runtime/model contracts		yes		Phase 8	Separate admin, operator, reference, and contributor concerns into canonical pages; consolidated into the locked IA node /reference/data-models/investment/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/metrics-inventory.md	markdown-page	public-reference	merge-and-generate	Reference	/reference/metrics/	landing	product-analytics	canonical computation code	canonical-metrics	yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/metrics.md	markdown-page	public-reference	merge-and-generate	Reference	/reference/metrics/	landing	product-analytics	canonical computation code	canonical-metrics	yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/cli-reference.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/cli/	landing	platform-api	deployment/runtime/configuration sources		yes		Phase 8	Convert operational source material into a supported procedure, runbook, or exact reference.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/connector-inventory.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/limits-and-compatibility/provider-limits/	reference	platform-api	deployment/runtime/configuration sources		yes		Phase 8	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /reference/limits-and-compatibility/provider-limits/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/feature-flags/feature-flag-metric-promotion.md	markdown-page	public-reference	split-and-generate	Reference	/reference/metrics/definitions/	generated-reference	product-analytics	feature-flag metric code		yes		Phase 8	Separate supported reader guidance and exact generated facts from product planning material; consolidated into the locked IA node /reference/metrics/definitions/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/feature-flags/feature-flag-stable-metrics.md	markdown-page	public-reference	merge-and-generate	Reference	/reference/metrics/definitions/	generated-reference	product-analytics	feature-flag metric code	canonical-metrics	yes		Phase 8	Separate supported reader guidance and exact generated facts from product planning material; consolidated into the locked IA node /reference/metrics/definitions/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/investment-taxonomy.md	markdown-page	public-nav	move-and-generate	Reference	/reference/taxonomies/investment/	generated-reference	product-analytics	canonical taxonomy code		yes		Phase 5	Separate supported reader guidance and exact generated facts from product planning material.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/providers/rate-limit-policy.md	markdown-page	public-nav	move-and-rewrite	Reference	/reference/limits-and-compatibility/provider-limits/	reference	platform-api	provider client/runtime limits		yes		Phase 8	Expose supported provider limits as exact reference; consolidated into the locked IA node /reference/limits-and-compatibility/provider-limits/ rather than creating another public page.	documentation-remediation-audit
