source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	AGENTS.md	repository-entry-point	external-entry-point	consolidate-internal	Contribute	/contribute/start/repository-map/	concept	engineering	canonical contributor guidance		no		Phase 8	Keep one version-controlled contributor/agent source and link from public Contribute guidance; consolidated into the locked IA node /contribute/start/repository-map/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/contribute/index.md	prototype-page	prototype-wip	promote-shell	Contribute	/contribute/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture.md	markdown-page	public-nav	move-and-rewrite	Contribute	/contribute/architecture/	landing	engineering	current service/repository architecture		yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr-001-canonical-provider-pattern.md	markdown-page	public-reference	merge-and-rewrite	Contribute	/contribute/architecture/contracts/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/contracts/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr/001-enterprise-edition.md	markdown-page	public-reference	merge-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/ai-attribution.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/contracts/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/contracts/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/ai-reports-architecture.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/auth-journey.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/byo-llm-architecture.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/data-pipeline.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/data-and-storage/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/data-and-storage/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/database-architecture.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/data-and-storage/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/data-and-storage/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/dispatch-outbox.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/data-and-storage/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/data-and-storage/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/enterprise-overview.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current code/contracts + durable architecture decision		yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/external-ingest-bounded-recompute.md	markdown-page	public-reference	move-and-rewrite	Contribute	/contribute/architecture/contracts/	architecture	engineering	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /contribute/architecture/contracts/ rather than creating another public page.	documentation-remediation-audit
