id	parent_id	url	label	kind	nav	public_state	lifecycle	provisional	summary
contribute	home	/contribute/	Contribute	landing	true	public	planned	false	Development, architecture, testing, release, and documentation contribution.
con-start	contribute	/contribute/start/	Start contributing	landing	true	public	planned	false	
con-repos	con-start	/contribute/start/repository-map/	Choose the correct repository	concept	true	public	planned	false	
con-setup	con-start	/contribute/start/development-environment/	Set up a development environment	tutorial	true	public	planned	false	
con-arch	contribute	/contribute/architecture/	Understand architecture and boundaries	landing	true	public	planned	false	
con-platform	con-arch	/contribute/architecture/platform/	Platform architecture	architecture	true	public	planned	false	
con-storage	con-arch	/contribute/architecture/data-and-storage/	Data and storage boundaries	architecture	true	public	planned	false	
con-contracts	con-arch	/contribute/architecture/contracts/	Stable contracts and source-of-truth rules	architecture	true	public	planned	false
con-team-attribution	con-arch	/contribute/architecture/team-attribution/	Work-item team attribution	architecture	true	public	planned	false	Restored 2026-08-19 (CHAOS-3968); see the page's own restoration note.
con-go-worker-runtime	con-arch	/contribute/architecture/go-worker-runtime/	Go worker runtime architecture	architecture	true	public	planned	false	Database roles, lease layers, delivery generations, repair seams, and deployment couplings of the Go worker fleet.
con-go-worker-helm-lifecycle	con-arch	/contribute/architecture/go-worker-helm-lifecycle/	Go worker migration and drain lifecycle	architecture	true	public	planned	false	Ordered Helm migration hooks, which credential each step reads, and the disruption budgets that keep a node drain from taking a claimed job with it.
con-ask-dev-v2	con-arch	/contribute/architecture/ask-dev-contracts-v2/	Ask Dev v2 contracts (Wave 3.1)	architecture	true	public	planned	false	
con-ask-dev-preflight	con-arch	/contribute/architecture/ask-dev-subject-preflight/	Ask Dev subject preflight	architecture	true	public	planned	false	
con-ask-dev-role-readiness	con-arch	/contribute/architecture/ask-dev-role-readiness/	Ask Dev role readiness	architecture	true	public	planned	false	
con-go-api-wave-0-proof-infrastructure	con-arch	/contribute/architecture/go-api-wave-0-proof-infrastructure/	Go API Wave 0 proof infrastructure	architecture	true	public	planned	false	Effective-principal envelope contract and operation rollout registry + proof ledger for CHAOS-4366/CHAOS-4352.
con-dev	contribute	/contribute/development/	Develop and test	landing	true	public	planned	false	
con-commands	con-dev	/contribute/development/commands/	Common development commands	task-guide	true	public	planned	false	
con-tests	con-dev	/contribute/development/testing/	Testing layers and local validation	task-guide	true	public	planned	false	
con-fixtures	con-dev	/contribute/development/fixtures-and-live-validation/	Fixtures and production-like validation	task-guide	true	public	planned	false	
con-migrations	con-dev	/contribute/development/migrations/	Create and validate database migrations	task-guide	true	public	planned	false	
con-debug	con-dev	/contribute/development/debugging/	Debug and observe development environments	task-guide	true	public	planned	false	
con-go-worker-traps	con-dev	/contribute/development/go-worker-verification-traps/	Verification traps in the Go worker runtime	reference	true	public	planned	false	Checks in the Go worker codebase that report success while the thing they check is broken.
con-lane-isolation-kiac	con-dev	/contribute/development/lane-isolation-kiac/	Lane isolation on a kiac cluster	runbook	true	public	planned	false	Run the whole stack per namespace on a local kiac cluster so parallel agents stop sharing one Compose stack.
con-review	contribute	/contribute/review-and-release/	Review and release	landing	true	public	planned	false	
con-pr	con-review	/contribute/review-and-release/pull-requests/	Prepare and review a pull request	task-guide	true	public	planned	false	
con-release	con-review	/contribute/review-and-release/releases/	Release and rollback expectations	task-guide	true	public	planned	false	
con-docs	contribute	/contribute/documentation/	Contribute documentation	landing	true	public	planned	false	
con-doc-classify	con-docs	/contribute/documentation/classify-and-place/	Classify and place a page	task-guide	true	public	planned	false	
con-doc-write	con-docs	/contribute/documentation/write-and-review/	Write and review documentation	task-guide	true	public	planned	false	
con-doc-preview	con-docs	/contribute/documentation/preview-and-validate/	Preview and validate documentation	task-guide	true	public	planned	false	
con-doc-content-model	con-docs	/contribute/documentation/content-model/	Documentation content model	concept	true	public	planned	false	
con-doc-templates	con-docs	/contribute/documentation/templates/	Documentation authoring templates	reference	true	public	planned	false	
con-doc-style	con-docs	/contribute/documentation/style-guide/	Documentation editorial and accessibility style	reference	true	public	planned	false	
con-doc-reader-tasks	con-docs	/contribute/documentation/reader-tasks/	Representative documentation tasks	reference	true	public	planned	false	
con-doc-ia-diagrams	con-docs	/contribute/documentation/ia-diagrams/	IA diagrams	architecture	true	public	planned	false	
