source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	docs-prototype/admin/index.md	prototype-page	prototype-wip	promote-shell	Administer Dev Health	/admin/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/contribute/index.md	prototype-page	prototype-wip	promote-shell	Contribute	/contribute/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/design-directions.md	prototype-page	prototype-wip	archive-after-approval	Internal project records		internal-artifact	documentation	approved design decision		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/get-started/index.md	prototype-page	prototype-wip	provisional-promote	Get started	/get-started/	landing	documentation	approved task briefs		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/index.md	prototype-page	prototype-wip	promote	Home	/	landing	documentation	approved IA + prototype		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/integrate/index.md	prototype-page	prototype-wip	promote-shell	Integrate and extend	/integrate/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/operate/index.md	prototype-page	prototype-wip	promote-shell	Install and operate	/operate/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/reference/index.md	prototype-page	prototype-wip	promote-shell	Reference	/reference/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/reference/metrics/investment-distribution.md	prototype-page	prototype-wip	promote-and-verify	Reference	/reference/metrics/weighting-and-aggregation/	reference	product-analytics	canonical Investment computation code		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion; consolidated into the locked IA node /reference/metrics/weighting-and-aggregation/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/use/index.md	prototype-page	prototype-wip	promote	Use Dev Health	/use/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/use/investment/investigate-effort.md	prototype-page	prototype-wip	promote-and-verify	Use Dev Health	/use/investment/investigate-effort/	task-guide	product-analytics	current Investment UI + queries + taxonomy	investment-workflow-guide	no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs-prototype/use/troubleshooting/no-or-incomplete-data.md	prototype-page	prototype-wip	promote-and-verify	Use Dev Health	/use/troubleshooting/no-or-incomplete-data/	troubleshooting	product-analytics	current data coverage/status behavior		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/alerting.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/dashboards-and-alerts/	task-guide	platform-operations	alerting configuration and runtime signals		yes		Phase 7	Move or consolidate into the approved canonical task/reference location; consolidated into the locked IA node /operate/observe/dashboards-and-alerts/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/graphql-ai.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/graphql/schema/	generated-reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/graphql/schema/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/graphql-overview.md	markdown-page	public-nav	merge-and-rewrite	Reference	/reference/graphql/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/graphql-security.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/authentication/	api-reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/authentication/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/investment-api.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/operating-review.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/persisted-queries.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/graphql/filters/	api-reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/graphql/filters/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/team-catalog-source-of-truth.md	markdown-page	public-reference	move-and-rewrite	Reference	/reference/data-models/work-graph/	reference	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/data-models/work-graph/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/view-mapping.md	markdown-page	public-nav	move-and-rewrite	Reference	/reference/api/	landing	platform-api	current GraphQL/API schema and runtime		yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /reference/api/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/web-graphql-client.md	markdown-page	public-reference	merge-and-rewrite	Integrate and extend	/integrate/api/graphql/	task-guide	platform-api	current GraphQL/API schema and runtime	graphql-client	yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /integrate/api/graphql/ rather than creating another public page.	documentation-remediation-audit
