source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	docs-prototype/operate/index.md	prototype-page	prototype-wip	promote-shell	Install and operate	/operate/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/alerting.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/dashboards-and-alerts/	task-guide	platform-operations	alerting configuration and runtime signals		yes		Phase 7	Move or consolidate into the approved canonical task/reference location; consolidated into the locked IA node /operate/observe/dashboards-and-alerts/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/launchdarkly-sync-budgeting.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/run/operational-controls/	task-guide	platform-operations	current code/contracts + durable architecture decision		yes		Phase 7	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /operate/run/operational-controls/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/platform-sync-observability.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/metrics-and-traces/	reference	platform-operations	current code/contracts + durable architecture decision		yes		Phase 7	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /operate/observe/metrics-and-traces/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/sync-usage-actuals.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/metrics-and-traces/	reference	platform-operations	current code/contracts + durable architecture decision		yes		Phase 7	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /operate/observe/metrics-and-traces/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/worker-scaling-readiness.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/plan/capacity-and-sizing/	reference	platform-operations	current code/contracts + durable architecture decision		yes		Phase 7	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /operate/plan/capacity-and-sizing/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/email-setup.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/configure/external-services/	task-guide	platform-operations	email provider configuration		yes		Phase 7	Move or consolidate into the approved canonical task/reference location; consolidated into the locked IA node /operate/configure/external-services/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/llm/errors-circuit-breaker.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/runbooks/worker-or-queue-failure/	runbook	platform-operations	current LLM configuration/runtime/model contracts		yes		Phase 7	Separate admin, operator, reference, and contributor concerns into canonical pages; consolidated into the locked IA node /operate/runbooks/worker-or-queue-failure/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/llm/investment-llm-telemetry.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/metrics-and-traces/	reference	platform-operations	current LLM configuration/runtime/model contracts		yes		Phase 7	Separate admin, operator, reference, and contributor concerns into canonical pages; consolidated into the locked IA node /operate/observe/metrics-and-traces/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/llm/spend-observability.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/metrics-and-traces/	reference	platform-operations	current LLM configuration/runtime/model contracts		yes		Phase 7	Separate admin, operator, reference, and contributor concerns into canonical pages; consolidated into the locked IA node /operate/observe/metrics-and-traces/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/customer-offboarding.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/maintain/decommission/	task-guide	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/maintain/decommission/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/database-connection-pooling.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/configure/databases-and-storage/	task-guide	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/configure/databases-and-storage/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/deployment-guide.md	markdown-page	public-nav	move-and-rewrite	Install and operate	/operate/install/production/	task-guide	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/investment-materialization.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/run/workers-and-jobs/	task-guide	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/run/workers-and-jobs/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/observability-tooling.md	markdown-page	public-nav	move-and-rewrite	Install and operate	/operate/observe/	landing	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/runbook-ingestion-failures.md	markdown-page	public-nav	move-and-rewrite	Install and operate	/operate/runbooks/ingestion-failure/	runbook	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/runbooks/ingestion-failure/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/runbook-report-failures.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/runbooks/worker-or-queue-failure/	runbook	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/runbooks/worker-or-queue-failure/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/stripe-billing-runbook.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/runbooks/	troubleshooting-index	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/runbooks/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/workers.md	markdown-page	public-nav	move-and-rewrite	Install and operate	/operate/run/workers-and-jobs/	task-guide	platform-operations	deployment/runtime/configuration sources		yes		Phase 7	Convert operational source material into a supported procedure, runbook, or exact reference; consolidated into the locked IA node /operate/run/workers-and-jobs/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/security/credential-encryption-rotation.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/security/hardening/	task-guide	security	credential encryption implementation and runbooks		yes		Phase 7	Publish the supported security operation, not the audit history; consolidated into the locked IA node /operate/security/hardening/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/self-hosted-quickstart.md	markdown-page	public-nav	move-and-rewrite	Install and operate	/operate/install/local-evaluation/	tutorial	platform-operations	supported deployment artifacts		yes		Phase 7	Move or consolidate into the approved canonical task/reference location; consolidated into the locked IA node /operate/install/local-evaluation/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/slos.md	markdown-page	public-reference	move-and-rewrite	Install and operate	/operate/observe/dashboards-and-alerts/	task-guide	platform-operations	service objectives and monitoring configuration		yes		Phase 7	Move or consolidate into the approved canonical task/reference location; consolidated into the locked IA node /operate/observe/dashboards-and-alerts/ rather than creating another public page.	documentation-remediation-audit
