source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-web	AGENTS.md	repository-entry-point	external-entry-point	consolidate-internal	Contribute	/contribute/start/repository-map/	concept	engineering	canonical repository guidance		no		Phase 8	Keep repository agent instructions internal and link durable contributor guidance once; consolidated into the locked IA node /contribute/start/repository-map/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	README.md	repository-entry-point	external-entry-point	update-links	Documentation system	/	landing	documentation	canonical documentation URLs		no		Phase 11	Update repository entry links when the canonical documentation domain cuts over.	documentation-remediation-audit
full-chaos/dev-health-web	docs/architecture.md	markdown-page	external-source	merge-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current dev-health-web architecture		no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/architecture/team-attribution-boundary.md	markdown-page	external-source	merge-and-rewrite	Reference	/reference/data-models/work-graph/	reference	product-analytics	current web/ops attribution code	team-attribution	no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /reference/data-models/work-graph/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/auth-system.md	markdown-page	external-source	merge-and-rewrite	Contribute	/contribute/architecture/platform/	architecture	engineering	current auth implementation		no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /contribute/architecture/platform/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/env-vars.md	markdown-page	external-source	move-and-generate	Reference	/reference/configuration/environment/	configuration-reference	engineering	current web runtime config		no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /reference/configuration/environment/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/github-app-auth.md	markdown-page	external-source	merge-and-rewrite	Administer Dev Health	/admin/data-sources/github/	task-guide	platform-product	current GitHub App UI/routes	github-app-connection	no		Phase 7	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /admin/data-sources/github/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/graphql-client.md	markdown-page	external-source	merge-and-rewrite	Integrate and extend	/integrate/api/graphql/	task-guide	platform-api	current web GraphQL client and schema	graphql-client	no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /integrate/api/graphql/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/graphql-investment.md	markdown-page	external-source	merge-and-rewrite	Reference	/reference/graphql/schema/	generated-reference	platform-api	current Investment queries and schema	graphql-investment	no		Phase 5	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /reference/graphql/schema/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/product-telemetry.md	markdown-page	external-source	merge-and-rewrite	Administer Dev Health	/admin/security-and-audit/privacy/	concept	platform-product	current telemetry UI/config/privacy controls		no		Phase 7	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /admin/security-and-audit/privacy/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/providers-integration.md	markdown-page	external-source	split-and-rewrite	Administer Dev Health	/admin/data-sources/	landing	platform-product	current provider setup UI + ops provider contracts	provider-integration	no		Phase 7	Merge verified web behavior into the one canonical cross-repository documentation page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/rate-limiting.md	markdown-page	external-source	move-and-generate	Reference	/reference/limits-and-compatibility/provider-limits/	reference	platform-api	current web/API rate-limit code		no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /reference/limits-and-compatibility/provider-limits/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/reports.md	markdown-page	external-source	merge-and-rewrite	Use Dev Health	/use/reports/	landing	product-analytics	current Reports UI + report contracts	reports-guide	no		Phase 6	Merge verified web behavior into the one canonical cross-repository documentation page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/security-headers.md	markdown-page	external-source	move-and-rewrite	Install and operate	/operate/security/hardening/	task-guide	security	current web security headers/config		no		Phase 7	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /operate/security/hardening/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/testops.md	markdown-page	external-source	split-and-rewrite	Use Dev Health	/use/plan-and-improve/compare-trends/	task-guide	product-analytics	current TestOps UI + canonical contracts	testops	no		Phase 6	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /use/plan-and-improve/compare-trends/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/user-journeys/investment-view.md	markdown-page	external-source	merge-and-rewrite	Use Dev Health	/use/investment/investigate-effort/	task-guide	product-analytics	current Investment UI/routes	investment-workflow-guide	no		Phase 5	Merge verified web behavior into the one canonical cross-repository documentation page.	documentation-remediation-audit
full-chaos/dev-health-web	docs/visualizations.md	markdown-page	external-source	merge-and-rewrite	Contribute	/contribute/documentation/write-and-review/	task-guide	documentation	approved accessible visualization patterns		no		Phase 8	Merge verified web behavior into the one canonical cross-repository documentation page; consolidated into the locked IA node /contribute/documentation/write-and-review/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-web	next.config.js	repository-entry-point	external-entry-point	retain	Documentation system		repository-config	engineering	current web build/runtime		no		Ongoing	Configuration remains product code; only documentation URL behavior is reviewed.	documentation-remediation-audit
full-chaos/dev-health-web	package.json	repository-entry-point	external-entry-point	retain	Documentation system		repository-config	engineering	current web build/runtime		no		Ongoing	Configuration remains product code; only documentation URL behavior is reviewed.	documentation-remediation-audit
full-chaos/dev-health-web	public/runtime-config.js	documentation-entry-point	external-entry-point	update-docs-url	Documentation system	/	landing	engineering	canonical documentation domain/environment		no		Phase 11	Retain product code and update the documentation URL/configuration at cutover.	documentation-remediation-audit
full-chaos/dev-health-web	scripts/write-runtime-config.mjs	documentation-entry-point	external-entry-point	update-docs-url	Documentation system	/	landing	engineering	canonical documentation domain/environment		no		Phase 11	Retain product code and update the documentation URL/configuration at cutover.	documentation-remediation-audit
full-chaos/dev-health-web	src/lib/__tests__/config.test.ts	documentation-entry-point	external-entry-point	update-test-expectations	Documentation system	/	landing	engineering	canonical documentation domain/environment		no		Phase 11	Retain the test and update expected documentation URL behavior at cutover.	documentation-remediation-audit
full-chaos/dev-health-web	src/lib/__tests__/runtimeConfig.test.ts	documentation-entry-point	external-entry-point	update-test-expectations	Documentation system	/	landing	engineering	canonical documentation domain/environment		no		Phase 11	Retain the test and update expected documentation URL behavior at cutover.	documentation-remediation-audit
full-chaos/dev-health-web	src/lib/config.ts	documentation-entry-point	external-entry-point	update-docs-url	Documentation system	/	landing	engineering	canonical documentation domain/environment		no		Phase 11	Retain product code and update the documentation URL/configuration at cutover.	documentation-remediation-audit
full-chaos/dev-health-web	src/lib/runtimeConfig.ts	documentation-entry-point	external-entry-point	update-docs-url	Documentation system	/	landing	engineering	canonical documentation domain/environment		no		Phase 11	Retain product code and update the documentation URL/configuration at cutover.	documentation-remediation-audit
