source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	.github/documentation-program/README.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/content-model.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/current-preview-baseline.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/gitlab-pattern-audit.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia-diagrams.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/README.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/admin.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/contribute.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/get-started.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/home.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/integrate.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/operate.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/reference.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/ia/use.tsv	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/phase-3-approval-checklist.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/reader-tasks.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/style-guide.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
full-chaos/dev-health-ops	.github/documentation-program/templates.md	internal-program	excluded-internal	retain-internal	Internal project records		internal-artifact	documentation	project PRD + issue evidence		no		Ongoing	Authoritative remediation evidence; excluded from the public build.	documentation-remediation-audit
