page_id	target_url	content_type	reader_outcome	current_sources	product_or_code_source	state_or_risk_checks	legacy_redirects	evidence_status	owner	linear_issue
home	/	landing	Choose the correct task domain without learning repository structure.	docs-prototype/index.md	locked IA + approved home design	navigation order; mobile; keyboard; search entry	None	approved-design; implementation-pending	documentation	CHAOS-2993
use	/use/	landing	Choose a supported product workflow or user-visible recovery path.	docs-prototype/use/index.md; docs/user-guide/views-index.md	locked Use Dev Health IA	canonical placement; no duplicate view index	Legacy views-index URL to canonical /use/	source-map-complete; content-pending	documentation	CHAOS-2993
get-started-choose	/get-started/choose-a-task/	task-guide	Route a new reader to the same supported task with less effort than the home route.	docs-prototype/get-started/index.md; docs/user-guide/first-10-minutes.md	approved task briefs + current access model	must not reuse old onboarding sequence; direct-route comparison	Legacy first-10-minutes and Start Here URLs follow disposition	experiment-brief-approved; content-pending	documentation	CHAOS-2994
get-started-prerequisites	/get-started/prerequisites/	task-guide	Identify only the access, source, scope, and data prerequisites that block the selected task.	docs/product/concepts.md; docs/user-guide/how-to-read-dev-health.md	current product access + source + coverage behavior	role; source connection; scope; time; coverage; unavailable states	Legacy onboarding URLs follow disposition	experiment-brief-approved; source-verification-pending	documentation	CHAOS-2994
use-investigate-effort	/use/investment/investigate-effort/	task-guide	Determine where effort appears to be going and choose a supported next action.	docs-prototype/use/investment/investigate-effort.md; docs/user-guide/investment-view.md; docs/user-guide/journeys/investment-view.md	current Investment UI + queries + taxonomy	role; scope; time window; coverage; zero; unavailable; confidence; evidence path	Legacy Investment guide and journey URLs redirect here	inventory-approved; source-verification-in-progress	product-analytics	CHAOS-2994
use-investment-mix	/use/investment/investment-mix/	workflow-guide	Read the current Investment Mix result without treating it as a verdict.	docs/user-guide/views/investment-mix.md	current Investment Mix UI + computations	labels; distribution; weighting; rounding; incomplete; stale; limitations	Legacy Investment Mix URL redirects here	inventory-approved; source-verification-pending	product-analytics	CHAOS-2994
use-investment-evidence	/use/investment/follow-evidence/	task-guide	Follow a displayed Investment result to the supported underlying evidence and coverage context.	docs/user-guide/investment-view.md; docs/user-guide/journeys/investment-view.md	current Investment evidence routes + queries	evidence availability; confidence; scope preservation; permissions; missing associations	Covered by legacy Investment redirects	inventory-approved; source-verification-pending	product-analytics	CHAOS-2994
reference-investment-taxonomy	/reference/taxonomies/investment/	generated-reference	Look up canonical Investment categories, labels, and boundaries.	docs/product/investment-taxonomy.md	canonical taxonomy code	generated drift; category definitions; deprecated aliases	Legacy investment-taxonomy URL redirects here	inventory-approved; generator-verification-pending	product-analytics	CHAOS-2994
reference-weighting	/reference/metrics/weighting-and-aggregation/	reference	Look up exact weighting, aggregation, rounding, and applicability rules.	docs-prototype/reference/metrics/investment-distribution.md	canonical Investment computation code	weights; aggregation; rounding; null/zero; scope; examples	Prototype path is non-canonical; legacy metric links redirect here	inventory-approved; code-verification-pending	product-analytics	CHAOS-2994
use-no-data	/use/troubleshooting/no-or-incomplete-data/	troubleshooting	Diagnose no, incomplete, stale, or delayed data and choose the correct escalation.	docs-prototype/use/troubleshooting/no-or-incomplete-data.md	current data coverage + sync/status behavior	zero vs unavailable; incomplete; stale; delayed; permissions; source scope	Legacy user-visible data troubleshooting redirects here	inventory-approved; source-verification-pending	product-analytics	CHAOS-2994
admin-sync-status	/admin/sync-and-coverage/status-and-freshness/	task-guide	Verify source synchronization and freshness when user-visible coverage is incomplete.	approved disposition rows for admin sync and coverage	current admin sync status UI + source runtime	role boundary; provider status; freshness; backfill; escalation	Relevant admin sync legacy URLs redirect here	contextual-escalation; implementation-pending	platform-operations	CHAOS-2994
operate-ingestion-runbook	/operate/runbooks/ingestion-failure/	runbook	Diagnose and recover an ingestion failure after user/admin checks identify an operator problem.	approved disposition rows for ingestion and runbooks	current ingestion workers + health + retry controls	impact; safety; diagnosis; retry; rollback; verification; retained evidence	Relevant operator runbook legacy URLs redirect here	contextual-escalation; implementation-pending	platform-operations	CHAOS-2994
