source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-web	.screenshots/chaos-1761/demo/lg/demo-lg.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	.screenshots/chaos-1761/demo/md/demo-md.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	.screenshots/chaos-1761/demo/sm/demo-sm.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	.screenshots/chaos-1761/demo/xl/demo-xl.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/01-impact.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/02-attribution.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/03-review-load.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/04-test-gaps.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/05-governance-risk.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/06-evidence.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2044/07-automations.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2046/chaos-2046-ai-attribution-after.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
full-chaos/dev-health-web	docs/evidence/chaos-2046/chaos-2046-ai-automations-after.png	visual-asset	external-supporting-artifact	archive-or-recapture	Internal project records		visual-evidence	design	sanitized current product fixture		no	internal-evidence	Phase 6	Existing screenshots/evidence are internal by default; select and recapture only when a canonical page needs them.	documentation-remediation-audit
