source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	docs-prototype/design-directions.md	prototype-page	prototype-wip	archive-after-approval	Internal project records		internal-artifact	documentation	approved design decision		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/agents/AGENTS-INVESTMENT-CATEGORY.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/agents/AGENTS-INVESTMENT.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/agents/AGENTS-WG.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history	work-graph	review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/export-schema-usage-audit.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/graphql-migration.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/graphql-subscriptions.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/index.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/integrations/index.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/legacy/perf_notes.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	documentation	git history		review: redirect, 410, or noindex		Phase 9	Legacy appendix material is historical/internal and must not remain in public search.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/ops-AGENTS.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	engineering	git history		review: redirect, 410, or noindex		Phase 9	Appendix material duplicates supported reference or preserves obsolete implementation history.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/web-graphql-client.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	engineering	git history	graphql-client	review: redirect, 410, or noindex		Phase 9	Appendix material duplicates supported reference or preserves obsolete implementation history.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/web-graphql-investment.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	engineering	git history	graphql-investment	review: redirect, 410, or noindex		Phase 9	Appendix material duplicates supported reference or preserves obsolete implementation history.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/appendix/web-visualizations.md	markdown-page	public-reference	archive	Internal project records		historical-artifact	engineering	git history		review: redirect, 410, or noindex		Phase 9	Appendix material duplicates supported reference or preserves obsolete implementation history.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr/003-external-ingest-test-docs-strategy.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a	customer-push-ingestion	review: redirect, 410, or noindex		Phase 9	Delivery-specific architecture or test strategy remains internal.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/computations/canonical-metrics-prd.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	product-analytics	n/a		review: redirect, 410, or noindex		Phase 9	PRD content remains internal; exact computations come from code.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/coverage-matrix.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/decisions/unified-docs-cloudflare.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/design-system.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a	documentation-design-system	review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/enterprise-test-plan.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/ops/testing-governance.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/feature-flags/feature-flag-prd-review.md	markdown-page	public-reference	internal-source-evidence	Internal project records		internal-artifact	product-analytics	n/a		review: redirect, 410, or noindex		Phase 6	Retain planning evidence internally and extract only supported metric/task facts.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/feature-flags/feature-flag-rejected-metrics.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	product-analytics	n/a	canonical-metrics	review: redirect, 410, or noindex		Phase 9	Separate supported reader guidance and exact generated facts from product planning material.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/monetization-strategy.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/prd.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/product-brief.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/product-telemetry-dashboard-assessment.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/product/test-ops-prd.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a	testops	review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/reference/primitive-showcase.md	markdown-page	public-nav	internal-only	Internal project records		internal-artifact	documentation	n/a	documentation-design-system	review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/task_trackers.md	markdown-page	public-reference	internal-only	Internal project records		internal-artifact	documentation	n/a		review: redirect, 410, or noindex		Phase 9	Project, plan, QA, evidence, or implementation material is not public reader documentation.	documentation-remediation-audit
