source_repo	source_path	artifact_type	publication_classification	proposed_disposition	target_section	target_url	target_page_type	canonical_owner	source_of_truth	duplicate_group	redirect_required	asset_status	migration_phase	reason	reviewer
full-chaos/dev-health-ops	docs-prototype/integrate/index.md	prototype-page	prototype-wip	promote-shell	Integrate and extend	/integrate/	landing	documentation	approved IA manifest		no		Phase 5	Approved prototype candidate; verify with the Phase 5 vertical slice before production promotion.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/api/web-graphql-client.md	markdown-page	public-reference	merge-and-rewrite	Integrate and extend	/integrate/api/graphql/	task-guide	platform-api	current GraphQL/API schema and runtime	graphql-client	yes		Phase 8	Consolidate supported API facts into the canonical Reference hierarchy; consolidated into the locked IA node /integrate/api/graphql/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr-003-external-ingest-rest-boundary.md	markdown-page	public-reference	merge-and-rewrite	Integrate and extend	/integrate/customer-push/	landing	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/adr-004-webhook-assisted-customer-push-ingestion.md	markdown-page	public-reference	merge-and-rewrite	Integrate and extend	/integrate/webhooks/	landing	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /integrate/webhooks/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/architecture/customer-push-cli-and-examples.md	markdown-page	public-reference	move-and-rewrite	Integrate and extend	/integrate/customer-push/submit-records/	task-guide	platform-api	current code/contracts + durable architecture decision	customer-push-ingestion	yes		Phase 8	Publish only the durable supported contract; implementation history stays internal; consolidated into the locked IA node /integrate/customer-push/submit-records/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/ci-cd.md	markdown-page	public-reference	move-and-rewrite	Integrate and extend	/integrate/customer-push/submit-records/	task-guide	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries; consolidated into the locked IA node /integrate/customer-push/submit-records/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/examples.md	markdown-page	public-reference	move-and-rewrite	Integrate and extend	/integrate/customer-push/submit-records/	task-guide	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries; consolidated into the locked IA node /integrate/customer-push/submit-records/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/overview.md	markdown-page	public-nav	move-and-rewrite	Integrate and extend	/integrate/customer-push/	landing	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/setup-guide.md	markdown-page	public-reference	move-and-rewrite	Integrate and extend	/integrate/customer-push/register-source/	task-guide	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries; consolidated into the locked IA node /integrate/customer-push/register-source/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/customer-push-ingestion/troubleshooting.md	markdown-page	public-reference	move-and-rewrite	Integrate and extend	/integrate/troubleshooting/delivery-and-rate-limits/	troubleshooting	platform-api	current external ingest API/schema/runtime	customer-push-ingestion	yes		Phase 8	Retain supported integration facts while replacing repository-oriented page boundaries; consolidated into the locked IA node /integrate/troubleshooting/delivery-and-rate-limits/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/examples/webhook-relay/README.md	markdown-page	public-reference	move-and-rewrite	Integrate and extend	/integrate/webhooks/configure/	task-guide	platform-api	supported webhook behavior		yes		Phase 8	Promote only a supported, tested integration example; consolidated into the locked IA node /integrate/webhooks/configure/ rather than creating another public page.	documentation-remediation-audit
full-chaos/dev-health-ops	docs/webhooks.md	markdown-page	public-nav	move-and-rewrite	Integrate and extend	/integrate/webhooks/	landing	platform-api	supported webhook implementation		yes		Phase 8	Move or consolidate into the approved canonical task/reference location.	documentation-remediation-audit
