workstream	linear_issue	target_url	content_type	current_sources	source_of_truth	duplicate_group	pre_gate_work	post_gate_work	status
shared-context	CHAOS-2996	/use/navigate/	landing	docs/user-guide/views-index.md; docs-prototype/use/index.md	current Cockpit/navigation UI + locked IA		verify route hierarchy; scope/time/filter/data-state semantics; page briefs	implement landing and shared contextual links after Phase 5 approval	planning-active
shared-context	CHAOS-2996	/use/navigate/scope-and-time/	task-guide	docs/user-guide/views-index.md; relevant view guides	current scope and time controls + query contracts		verify labels/defaults/persistence/coverage effects	write canonical shared task guide and remove duplicated per-view setup	planning-active
investment	CHAOS-2996	/use/investment/investment-flows/	workflow-guide	docs/user-guide/views/investment-flows.md	current Investment Flows UI + computations		verify route/labels/fields/coverage/evidence/state behavior	migrate after the Phase 5 Investment pattern is approved	blocked-by-CHAOS-2995
investment	CHAOS-2996	/use/investment/investment-expense/	workflow-guide	docs/user-guide/views/investment-expense.md	current Investment Expense UI + computations		verify route/labels/fields/coverage/evidence/state behavior	migrate after the Phase 5 Investment pattern is approved	blocked-by-CHAOS-2995
delivery-flow	CHAOS-2996	/use/delivery-flow/pr-flow/	workflow-guide	docs/user-guide/views/pr-flow.md	current PR Flow UI + metric contracts		verify supported route/fields/filters/metrics/empty states	write source-verified workflow guide and redirect legacy URL	planning-active
delivery-flow	CHAOS-2996	/use/delivery-flow/quadrants/	workflow-guide	docs/user-guide/views/quadrants.md	current Quadrants UI + zone calculations		verify zones/calculations/labels/limitations/coverage	write source-verified workflow guide and exact metric links	planning-active
code-relationships	CHAOS-2996	/use/code-and-relationships/code-hotspots/	workflow-guide	docs/user-guide/views/code-hotspots.md	current Code Hotspots UI + metric contracts		verify supported interpretation/evidence/coverage/limits	write canonical guide and troubleshooting links	planning-active
code-relationships	CHAOS-2996	/use/code-and-relationships/flame-diagrams/	workflow-guide	docs/user-guide/views/flame-diagrams.md	current diagnostic UI + query contracts		verify whether the named view/current equivalent exists; route; interaction; states	write or record an explicit unsupported/renamed disposition	planning-active
code-relationships	CHAOS-2996	/use/code-and-relationships/work-graph/	workflow-guide	docs/user-guide/views/work-graph.md; docs/user-guide/work-graph.md	current Work Graph UI + graph contracts	work-graph	verify canonical route/nodes/edges/evidence/permissions/empty states	merge duplicate guides into one canonical workflow and redirect both legacy URLs	planning-active
plan-improve	CHAOS-2996	/use/plan-and-improve/capacity-planning/	workflow-guide	docs/product/capacity-planning.md; docs/user-guide/views/capacity-planning.md	current Capacity Planning UI + forecast code	capacity-planning	separate supported workflow from planning/spec material; verify forecast semantics	write canonical workflow and link exact generated facts	planning-active
plan-improve	CHAOS-2996	/use/plan-and-improve/compare-trends/	task-guide	docs/product/feature-flags/feature-flag-user-impact-prd.md; docs/user-guide/feature-flag-impact.md	current product UI + feature-flag data contracts		verify supported comparison workflow and whether feature flags are a current reader task	write canonical comparison task or record gap without creating a new IA node	planning-active
ai	CHAOS-2997	/use/ai-workflows/impact/	workflow-guide	docs/user-guide/views/ai-impact.md	current AI Impact UI + evidence contracts		verify availability/route/labels/observed-vs-derived/confidence/coverage	write responsible canonical guide after Phase 5 approval	planning-active
ai	CHAOS-2997	/use/ai-workflows/review-load/	workflow-guide	docs/user-guide/views/ai-review-load.md	current AI Review Load UI + evidence contracts		verify availability/route/labels/observed-vs-derived/confidence/coverage	write responsible canonical guide after Phase 5 approval	planning-active
ai	CHAOS-2997	/use/ai-workflows/risk/	workflow-guide	docs/user-guide/views/ai-risk.md	current AI Risk UI + evidence contracts		verify availability/route/labels/model semantics/limitations/coverage	write responsible canonical guide after Phase 5 approval	planning-active
ai	CHAOS-2997	/use/ai-workflows/attribution/	workflow-guide	docs/user-guide/views/ai-attribution.md	current AI Attribution UI + evidence contracts		verify availability/route/labels/association-vs-causation/confidence/coverage	write responsible canonical guide after Phase 5 approval	planning-active
reports	CHAOS-2997	/use/reports/	landing	docs/user-guide/reports.md	current Reports UI + report workers/contracts	reports-guide	verify create/clone/run/schedule/output/provenance/failure behavior and supported routes	split one legacy guide into canonical task pages under the approved landing	planning-active
journeys-troubleshooting	CHAOS-2998	/use/troubleshooting/	troubleshooting-index	docs/user-guide/views-index.md; current user guides	current user-visible state, permission, coverage, and report behavior		inventory symptoms; define user/admin/operator escalation boundaries	implement symptom pages and section acceptance after Phase 5 approval	planning-active
journeys-troubleshooting	CHAOS-2998	/use/plan-and-improve/team-conversations/	task-guide	relevant planning and view guides	current supported views + responsible interpretation policy		verify supported cross-view journey; preserve scope/time; prohibit person verdicts	write a bounded team-level journey or record explicit gap	planning-active
visuals	CHAOS-2998	internal://phase-6/visual-assets	internal-artifact	dev-health-web static assets and screenshots from PR #1244 inventory	approved sanitized product environment		identify reader purpose/source/revision/viewport/sanitization/alt text/owner; avoid recapture by default	capture only approved minimum assets with owning page PR	planning-active
